#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.79  0.21  1.32929  0.455 3.808  4.285 13.80  0.000 0.00 17.433 17.956 17.918 17.414 17.116 16.866 16.570 16.340 16.318  1.329 
 1   8.79  0.25  1.93896  1.216 3.894  4.032 11.10  0.000 0.00 12.831 13.042 12.978 12.762 12.641 12.547 12.439 12.368 12.357  1.939 
 1   8.81 -0.03  0.71368 -0.829 3.656  4.690  9.90  0.000 0.00 16.743 19.274 18.366 17.274 16.592 16.056 15.290 14.652 14.571  0.714 
 1   8.81  0.07  1.19126  0.250 3.790  4.372  5.60  0.000 0.00  9.746 10.361 10.317  9.758  9.429  9.148  8.804  8.531  8.505  1.191 
 1   8.81  0.11  0.45089 -1.516 3.582  4.883  8.80  0.000 0.00 17.359 21.007 19.912 18.625 17.687 16.689 15.654 15.043 14.877  0.451 
 1   8.81  0.17  0.59118 -1.179 3.612  4.783  8.20  0.000 0.00 15.918 19.154 18.073 16.845 16.011 15.249 14.323 13.635 13.520  0.591 
 1   8.81  0.31  0.38263 -1.696 3.567  4.930  7.60  0.000 0.00 16.611 20.566 19.405 18.073 17.089 15.965 14.866 14.273 14.079  0.383 
 1   8.81  0.43  0.55676 -1.264 3.602  4.802  9.20  0.000 0.00 17.129 20.538 19.457 18.248 17.378 16.476 15.478 14.779 14.661  0.557 
 1   8.83 -0.07  0.42039 -1.569 3.584  4.914  8.70  0.000 0.00 17.392 20.977 19.870 18.556 17.632 16.708 15.712 15.106 14.938  0.420 
 1   8.83 -0.03  1.42548  0.662 3.843  4.248 11.30  0.000 0.00 14.415 14.710 14.748 14.390 14.166 13.970 13.749 13.578 13.563  1.425 
 1   8.83  0.01  0.29158 -1.925 3.558  5.007  7.60  0.000 0.00 17.182 21.306 20.049 18.630 17.639 16.532 15.446 14.869 14.652  0.292 
 1   8.83  0.39  0.65841 -1.012 3.629  4.729  8.70  0.000 0.00 16.000 19.128 18.007 16.802 16.013 15.324 14.446 13.756 13.659  0.658 
 1   8.85 -0.19  0.81156 -0.515 3.705  4.629  9.80  0.000 0.00 15.859 17.472 16.979 16.093 15.582 15.158 14.566 14.078 14.022  0.812 
 1   8.85 -0.07  0.42747 -1.551 3.586  4.909  9.00  0.000 0.00 17.648 21.210 20.107 18.797 17.877 16.964 15.973 15.364 15.198  0.427 
 1   8.85 -0.03  0.18438 -2.314 3.529  5.080  5.70  0.000 0.00 16.255 21.006 19.583 18.048 16.961 15.664 14.456 13.904 13.658  0.184 
 1   8.85 -0.03  2.22406  1.585 3.888  3.697  9.20  0.000 0.00 10.009 10.227 10.150  9.948  9.828  9.724  9.596  9.514  9.501  2.224 
 1   8.85  0.05  0.99803 -0.143 3.747  4.514 12.20  0.000 0.00 17.327 18.412 18.158 17.417 16.999 16.650 16.188 15.818 15.779  0.998 
 1   8.85  0.11  0.58836 -1.177 3.613  4.785  9.90  0.000 0.00 17.614 20.819 19.743 18.514 17.684 16.943 16.028 15.341 15.227  0.588 
 1   8.85  0.25  0.80006 -0.646 3.671  4.618  8.30  0.000 0.00 14.686 17.084 16.180 15.114 14.472 13.975 13.264 12.684 12.613  0.800 
 1   8.85  0.29  2.08276  1.380 3.887  3.870  9.30  0.000 0.00 10.620 10.851 10.771 10.541 10.410 10.306 10.185 10.107 10.094  2.083 
 1   8.85  0.33  0.75567 -0.758 3.657  4.649 10.10  0.000 0.00 16.765 19.441 18.427 17.302 16.607 16.063 15.299 14.678 14.599  0.756 
 1   8.87  0.01  0.66450 -0.967 3.637  4.721 10.00  0.000 0.00 17.187 20.042 19.031 17.864 17.115 16.511 15.681 15.003 14.909  0.665 
 1   8.87  0.01  1.49813  0.758 3.851  4.205 11.50  0.000 0.00 14.375 14.650 14.676 14.341 14.132 13.950 13.748 13.594 13.579  1.498 
 1   8.87  0.13  0.39581 -1.653 3.571  4.920  8.60  0.000 0.00 17.502 21.348 20.209 18.884 17.915 16.838 15.768 15.179 14.992  0.396 
 1   8.87  0.15  1.21526  0.280 3.790  4.350 10.70  0.000 0.00 14.771 15.415 15.346 14.777 14.445 14.165 13.824 13.554 13.528  1.215 
 1   8.87  0.31  1.64606  0.899 3.855  4.121 10.00  0.000 0.00 12.523 12.831 12.800 12.456 12.251 12.085 11.900 11.765 11.750  1.646 
 1   8.87  0.33  0.54092 -1.302 3.598  4.813  9.60  0.000 0.00 17.624 21.053 19.979 18.756 17.874 16.967 15.967 15.282 15.156  0.541 
 1   8.89 -0.07  0.29665 -1.898 3.564  5.010  6.90  0.000 0.00 16.414 20.421 19.186 17.780 16.803 15.752 14.693 14.114 13.906  0.297 
 1   8.89 -0.07  1.35651  0.579 3.835  4.278 10.00  0.000 0.00 13.322 13.640 13.688 13.307 13.067 12.856 12.617 12.429 12.413  1.357 
 1   8.89 -0.07  0.76439 -0.683 3.677  4.659 10.60  0.000 0.00 17.076 19.211 18.462 17.458 16.854 16.375 15.686 15.114 15.045  0.764 
 1   8.89  0.17  0.37956 -1.701 3.567  4.934  5.80  0.000 0.00 14.824 18.762 17.591 16.244 15.265 14.168 13.086 12.499 12.303  0.380 
 1   8.89  0.53  1.45864  0.656 3.828  4.203  9.90  0.000 0.00 13.030 13.492 13.421 12.965 12.700 12.489 12.250 12.072 12.053  1.459 
 1   8.91  0.07  0.77080 -0.697 3.669  4.644 10.60  0.000 0.00 17.112 19.458 18.605 17.553 16.913 16.412 15.692 15.097 15.025  0.771 
 1   8.91  0.23  1.80763  1.097 3.868  4.015  8.90  0.000 0.00 10.929 11.197 11.155 10.860 10.685 10.543 10.382 10.269 10.255  1.808 
 1   8.91  0.35  0.98168 -0.210 3.732  4.514 10.90  0.000 0.00 16.195 17.635 17.163 16.318 15.851 15.481 14.979 14.586 14.541  0.982 
 1   8.93 -0.09  0.34896 -1.759 3.574  4.982  7.80  0.000 0.00 16.967 20.737 19.581 18.225 17.273 16.285 15.260 14.678 14.489  0.349 
 1   8.93  0.07  0.96869 -0.209 3.737  4.528 12.00  0.000 0.00 17.293 18.527 18.195 17.410 16.969 16.604 16.113 15.718 15.676  0.969 
 1   8.93  0.13  1.06264 -0.017 3.758  4.461  7.90  0.000 0.00 12.712 13.688 13.476 12.774 12.377 12.046 11.619 11.278 11.243  1.063 
 1   8.95 -0.45  0.75589 -0.571 3.705  4.655  8.50  0.000 0.00 14.697 16.202 15.792 14.932 14.432 14.006 13.414 12.925 12.866  0.756 
 1   8.95 -0.27  0.32974 -1.777 3.581  5.004  7.20  0.000 0.00 16.414 20.031 18.893 17.535 16.606 15.724 14.745 14.157 13.975  0.330 
 1   8.95 -0.13  1.24303  0.413 3.820  4.345 10.90  0.000 0.00 14.639 15.009 15.070 14.640 14.371 14.132 13.856 13.635 13.617  1.243 
 1   8.95 -0.07  1.18616  0.280 3.800  4.378 11.10  0.000 0.00 15.169 15.661 15.687 15.181 14.873 14.605 14.282 14.023 14.001  1.186 
 1   8.95 -0.03  0.81227 -0.570 3.692  4.630  9.50  0.000 0.00 15.695 17.597 16.949 15.996 15.437 14.988 14.350 13.823 13.762  0.812 
 1   8.95  0.15  0.48189 -1.443 3.587  4.860  8.40  0.000 0.00 16.778 20.349 19.266 17.998 17.075 16.111 15.089 14.459 14.304  0.482 
 1   8.95  0.51  0.63819 -1.062 3.623  4.743  9.00  0.000 0.00 16.425 19.659 18.516 17.304 16.495 15.754 14.845 14.147 14.046  0.638 
 1   8.97 -0.19  0.43266 -1.516 3.593  4.909  9.00  0.000 0.00 17.561 20.956 19.885 18.586 17.695 16.872 15.923 15.301 15.145  0.433 
 1   8.97 -0.17  1.28456  0.509 3.833  4.318 11.00  0.000 0.00 14.497 14.808 14.875 14.493 14.250 14.034 13.788 13.594 13.578  1.285 
 1   8.97 -0.07  0.56267 -1.210 3.615  4.803  9.60  0.000 0.00 17.395 20.524 19.476 18.243 17.422 16.719 15.825 15.148 15.030  0.563 
 1   8.97 -0.01  0.55773 -1.237 3.610  4.807  9.70  0.000 0.00 17.562 20.766 19.702 18.459 17.621 16.886 15.975 15.298 15.177  0.558 
 1   8.97 -0.01  0.58187 -1.176 3.616  4.790 10.00  0.000 0.00 17.711 20.845 19.785 18.555 17.737 17.037 16.144 15.460 15.345  0.582 
 1   8.97 -0.01  0.78779 -0.640 3.681  4.645 11.70  0.000 0.00 18.070 20.161 19.425 18.430 17.836 17.366 16.691 16.131 16.065  0.788 
 1   8.97  0.01  1.21475  0.324 3.800  4.344  7.00  0.000 0.00 10.961 11.473 11.479 10.966 10.657 10.390 10.069  9.813  9.790  1.215 
 1   8.97  0.01  0.81612 -0.564 3.689  4.615 11.40  0.000 0.00 17.580 19.547 18.865 17.896 17.327 16.873 16.224 15.689 15.627  0.816 
 1   8.97  0.05  0.65779 -0.989 3.634  4.727  9.90  0.000 0.00 17.143 20.063 19.030 17.850 17.089 16.468 15.626 14.944 14.847  0.658 
 1   8.97  0.07  0.62438 -1.079 3.624  4.755 10.40  0.000 0.00 17.867 20.940 19.870 18.657 17.862 17.197 16.321 15.627 15.522  0.624 
 1   8.97  0.09  0.50821 -1.373 3.595  4.843  9.10  0.000 0.00 17.303 20.732 19.655 18.392 17.502 16.630 15.652 14.999 14.859  0.508 
 1   8.97  0.13  1.14024  0.148 3.777  4.400 10.70  0.000 0.00 15.100 15.861 15.749 15.126 14.767 14.465 14.088 13.789 13.760  1.140 
 1   8.97  0.17  0.81523 -0.603 3.679  4.613  9.60  0.000 0.00 15.877 18.105 17.283 16.254 15.642 15.165 14.481 13.921 13.854  0.815 
 1   8.97  0.21  1.34997  0.505 3.810  4.251  5.90  0.000 0.00  9.407  9.915  9.879  9.385  9.092  8.846  8.556  8.332  8.310  1.350 
 1   8.99 -0.41  0.66900 -0.829 3.668  4.709  9.90  0.000 0.00 16.741 18.903 18.186 17.178 16.557 16.053 15.334 14.734 14.655  0.669 
 1   8.99 -0.29  1.15783  0.316 3.819  4.407  8.40  0.000 0.00 12.380 12.728 12.821 12.399 12.128 11.884 11.602 11.374 11.357  1.158 
